# of elements,operation,duration (ns)
32310,Delete,811
32310,Memory,919304
32410,Insert,741
32410,Find,384
32410,Delete,686
32410,Memory,917392
32510,Insert,723
32510,Find,320
32510,Delete,651
32510,Memory,918512
32610,Insert,805
32610,Find,371
32610,Delete,844
32610,Memory,925488
32710,Insert,799
32710,Find,507
32710,Delete,888
32710,Memory,928440
32810,Insert,636
32810,Find,437
32810,Delete,796
32810,Memory,937040
32910,Insert,709
32910,Find,308
32910,Delete,629
32910,Memory,933808
33010,Insert,660
33010,Find,369
33010,Delete,594
33010,Memory,939024
33110,Insert,689
33110,Find,453
33110,Delete,849
33110,Memory,939480
33210,Insert,736
33210,Find,371
33210,Delete,760
33210,Memory,944080
33310,Insert,689
33310,Find,372
33310,Delete,857
33310,Memory,943728
33410,Insert,760
33410,Find,431
33410,Delete,1098
33410,Memory,944112
33510,Insert,881
33510,Find,365
33510,Delete,688
33510,Memory,950104
33610,Insert,616
33610,Find,362
33610,Delete,753
33610,Memory,945808
33710,Insert,659
33710,Find,346
33710,Delete,731
33710,Memory,948656
33810,Insert,705
33810,Find,436
33810,Delete,765
33810,Memory,965168
33910,Insert,836
33910,Find,454
33910,Delete,860
33910,Memory,967288
34010,Insert,661
34010,Find,375
34010,Delete,812
34010,Memory,965264
34110,Insert,674
34110,Find,341
34110,Delete,762
34110,Memory,968560
34210,Insert,673
34210,Find,347
34210,Delete,650
34210,Memory,971920
34310,Insert,747
34310,Find,454
34310,Delete,734
34310,Memory,974984
34410,Insert,670
34410,Find,356
34410,Delete,636
34410,Memory,974064
34510,Insert,657
34510,Find,358
34510,Delete,585
34510,Memory,980656
34610,Insert,698
34610,Find,366
34610,Delete,613
34610,Memory,979536
34710,Insert,758
34710,Find,512
34710,Delete,750
34710,Memory,981072
34810,Insert,811
34810,Find,451
34810,Delete,753
34810,Memory,980720
34910,Insert,574
34910,Find,331
34910,Delete,561
34910,Memory,993488
35010,Insert,10187
35010,Find,969
35010,Delete,965
35010,Memory,996232
35110,Insert,634
35110,Find,394
35110,Delete,690
35110,Memory,996752
35210,Insert,698
35210,Find,378
35210,Delete,679
35210,Memory,998416
35310,Insert,638
35310,Find,419
35310,Delete,727
35310,Memory,1003544
35410,Insert,827
35410,Find,429
35410,Delete,684
35410,Memory,997424
35510,Insert,669
35510,Find,482
35510,Delete,596
35510,Memory,1003216
35610,Insert,897
35610,Find,462
35610,Delete,954
35610,Memory,1011560
35710,Insert,784
35710,Find,529
35710,Delete,835
35710,Memory,1010640
35810,Insert,857
35810,Find,520
35810,Delete,891
35810,Memory,1011088
35910,Insert,752
35910,Find,408
35910,Delete,764
35910,Memory,1024152
36010,Insert,1236
36010,Find,448
36010,Delete,715
36010,Memory,1023472
36110,Insert,1030
36110,Find,389
36110,Delete,825
36110,Memory,1027248
36210,Insert,833
36210,Find,425
36210,Delete,832
36210,Memory,1029960
36310,Insert,707
36310,Find,407
36310,Delete,799
36310,Memory,1028208
36410,Insert,713
36410,Find,450
36410,Delete,859
36410,Memory,1034576
36510,Insert,797
36510,Find,500
36510,Delete,792
36510,Memory,1037928
36610,Insert,743
36610,Find,414
36610,Delete,742
36610,Memory,1037008
36710,Insert,926
36710,Find,473
36710,Delete,813
36710,Memory,1035440
36810,Insert,647
36810,Find,491
36810,Delete,818
36810,Memory,1043320
36910,Insert,738
36910,Find,433
36910,Delete,654
36910,Memory,1049808
37010,Insert,673
37010,Find,380
37010,Delete,769
37010,Memory,1054000
37110,Insert,648
37110,Find,348
37110,Delete,754
37110,Memory,1056584
37210,Insert,810
37210,Find,411
37210,Delete,681
37210,Memory,1054928
37310,Insert,732
37310,Find,418
37310,Delete,796
37310,Memory,1058512
37410,Insert,884
37410,Find,464
37410,Delete,854
37410,Memory,1062440
37510,Insert,754
37510,Find,417
37510,Delete,823
37510,Memory,1059152
37610,Insert,725
37610,Find,371
37610,Delete,726
37610,Memory,1063152
37710,Insert,665
37710,Find,450
37710,Delete,750
37710,Memory,1070536
37810,Insert,578
37810,Find,381
37810,Delete,706
37810,Memory,1069872
37910,Insert,633
37910,Find,319
37910,Delete,761
37910,Memory,1079984
38010,Insert,671
38010,Find,509
38010,Delete,945
38010,Memory,1081416
38110,Insert,731
38110,Find,388
38110,Delete,950
38110,Memory,1083056
38210,Insert,656
38210,Find,414
38210,Delete,788
38210,Memory,1082576
38310,Insert,847
